Crop,Soil,Rainfall,Temperature,Fertilizer,Area,Yield
Maize,Clay,961.76,24.45,226.1,6.17,0.57
Garlic,Chalky,1096.23,13.21,115.75,9.48,0.51
Soybeans,Silty,1355.27,20.46,51.79,5.95,2.82
Zucchini,Loamy,713.79,15.68,155.95,6.99,1.91
Coffee,Silty,361.32,29.04,256.45,7.69,1.12
Tea,Loamy,1024.64,21.32,280.76,1.74,1.11
Flax,Loamy,701.66,19.93,104.51,4.52,0.94
Flax,Sandy,1069.12,10.25,125.58,3.81,3.08
Avocados,Silty,640.32,24.75,60.14,5.87,4.85
Oranges,Chalky,953.78,27.1,168.29,7.14,0.63
Rice,Chalky,789.52,31.44,269.26,7.96,3.38
Coffee,Chalky,473.72,19.04,241.08,6.91,2.04
Peas,Loamy,1113.41,27.67,126.8,3.88,0.72
Coffee,Peaty,251.86,12.46,219.26,3.75,2.04
Cassava,Chalky,684.04,12.39,216.22,8.19,4.75
Strawberries,Chalky,462.3,19.5,54.81,6.34,0.52
Beans,Peaty,247.42,19.69,62.53,1.01,4.86
Corn,Sandy,377.27,33.63,183.0,8.19,4.34
Mangoes,Chalky,1006.21,29.78,263.92,6.44,2.78
Sorghum,Loamy,964.96,23.12,206.06,0.62,2.85
Maize,Peaty,697.38,20.07,191.69,4.51,2.21
Onions,Sandy,666.59,17.13,63.75,8.93,4.58
Pineapple,Chalky,880.47,25.64,247.58,0.51,0.91
Tea,Chalky,445.79,14.05,82.76,3.27,3.17
Beans,Peaty,1281.36,24.69,298.6,5.43,4.19
Flax,Loamy,1284.2,23.97,205.96,8.82,1.86
Cowpeas,Peaty,1461.06,26.01,298.91,9.11,1.72
Wheat,Sandy,281.14,32.79,181.61,0.94,1.82
Onions,Sandy,247.27,28.98,164.72,0.83,3.15
Carrots,Loamy,1494.02,13.13,190.93,5.96,4.93
Sugarcane,Chalky,1340.04,15.01,259.91,9.86,1.03
Maize,Loamy,945.3,15.91,55.42,6.78,2.75
Rice,Chalky,1269.77,15.05,90.68,7.94,3.66
Tomatoes,Chalky,633.78,14.27,194.96,2.47,0.65
Potatoes,Clay,1263.12,25.64,239.27,8.56,3.23
Avocados,Loamy,205.0,32.02,267.32,3.1,3.82
Chickpeas,Loamy,850.31,23.81,144.17,5.72,2.05
Carrots,Clay,1017.61,34.94,93.82,9.27,2.58
Sorghum,Silty,718.85,10.75,60.43,9.03,4.45
Cowpeas,Clay,437.33,28.84,236.15,7.52,2.47
Mangoes,Chalky,241.09,23.18,84.61,3.09,2.89
Tea,Loamy,746.25,26.76,257.23,7.25,0.51
Lentils,Peaty,994.19,19.25,154.69,8.31,0.76
Sorghum,Silty,1449.24,31.52,54.67,4.22,4.26
Cowpeas,Clay,1465.53,21.9,83.76,8.14,2.24
Onions,Loamy,754.08,12.56,109.31,2.63,4.07
Oats,Sandy,222.12,20.33,188.27,8.77,2.27
Cauliflower,Peaty,1433.97,27.43,276.56,9.81,4.17
Cabbage,Silty,1310.9,19.66,185.21,9.97,1.71
Mangoes,Sandy,730.84,17.27,108.79,2.39,0.66
Bananas,Loamy,290.37,17.17,288.83,3.27,1.65
Strawberries,Chalky,280.27,31.24,266.69,4.88,1.3
Cowpeas,Clay,1346.56,18.69,291.5,5.15,3.91
Amaranth,Sandy,1312.73,14.4,66.92,4.0,4.05
Barley,Loamy,831.73,30.44,161.33,4.78,4.5
Pumpkin,Loamy,787.15,15.99,50.31,2.64,2.7
Wheat,Peaty,709.63,29.63,105.91,1.97,0.75
Oranges,Sandy,1327.57,13.85,101.04,4.02,4.11
Oranges,Loamy,1418.62,32.07,247.6,6.18,4.18
Oats,Silty,726.43,28.1,98.84,2.01,4.01
Hemp,Clay,1097.13,25.89,78.75,8.68,3.67
Cotton,Chalky,1301.86,13.75,289.3,2.26,4.44
Hemp,Clay,983.61,32.19,123.28,5.89,1.32
Cassava,Clay,694.04,32.71,158.38,4.51,0.8
Greengrams,Chalky,956.76,12.25,244.12,4.57,0.78
Apples,Sandy,309.29,17.57,112.46,1.35,3.34
Tomatoes,Loamy,788.89,14.09,122.44,4.29,1.34
Rice,Sandy,1196.63,34.97,109.34,4.88,2.98
Quinoa,Chalky,288.0,16.37,283.93,4.74,2.1
Soybeans,Clay,1493.13,26.21,263.89,9.0,3.27
Peanuts,Loamy,1275.42,16.97,215.03,6.93,2.94
Sorghum,Clay,1440.15,16.03,205.88,8.81,0.97
Millet,Chalky,828.42,21.38,66.64,1.05,2.68
Broccoli,Chalky,730.27,24.22,174.3,7.07,2.99
Pineapple,Loamy,337.37,19.24,273.29,7.5,0.51
Corn,Silty,1009.96,23.39,67.62,2.59,0.76
Avocados,Sandy,213.17,13.19,58.17,5.97,4.99
Onions,Peaty,654.97,13.08,227.27,1.23,4.31
Oranges,Sandy,225.05,30.77,175.09,0.54,0.94
Amaranth,Clay,300.7,17.92,293.83,9.95,2.61
Broccoli,Peaty,1467.84,32.99,58.03,7.91,2.56
Sugarcane,Silty,867.86,16.07,137.23,3.47,1.84
Tobacco,Loamy,522.84,11.88,221.89,6.93,3.19
Sunflower,Chalky,741.68,15.36,114.76,9.97,4.05
Amaranth,Silty,398.39,27.86,64.06,8.05,4.24
Bananas,Sandy,214.98,25.06,194.29,1.52,2.88
Pumpkin,Loamy,589.19,27.15,169.92,9.28,1.78
Sunflower,Chalky,899.18,21.31,225.04,2.81,2.87
Strawberries,Chalky,1343.06,16.52,91.39,9.68,1.91
Maize,Sandy,700.34,13.52,142.88,8.16,3.56
Grapes,Peaty,570.63,22.83,105.08,7.88,4.85
Alfalfa,Peaty,1422.35,32.13,115.5,3.01,3.12
Cocoa,Silty,459.29,30.45,52.73,1.21,4.3
Sorghum,Loamy,244.4,18.15,278.93,0.58,2.96
Beans,Loamy,677.93,15.92,237.42,2.73,3.42
Chickpeas,Chalky,1003.94,32.4,249.22,9.22,2.24
Flax,Clay,1446.08,26.4,198.84,9.98,2.51
Onions,Loamy,1457.5,18.17,227.6,4.44,3.18
Mangoes,Sandy,1419.52,32.43,295.82,2.15,3.78
Bananas,Silty,763.92,20.34,174.5,2.62,1.11
Blueberries,Loamy,615.14,11.69,231.85,1.9,4.69
Strawberries,Clay,1300.18,23.08,155.06,6.93,1.34
Chickpeas,Clay,1018.12,15.21,277.79,8.78,4.49
Amaranth,Sandy,553.51,26.24,248.54,3.07,3.84
Apples,Sandy,401.54,31.13,245.35,6.64,1.16
Rice,Chalky,1323.98,24.63,271.63,1.53,1.26
Cotton,Sandy,1188.61,22.72,286.32,7.14,2.05
Grapes,Loamy,1460.08,22.07,166.71,6.74,1.83
Alfalfa,Sandy,1387.45,29.38,59.07,7.13,4.81
Flax,Peaty,1066.14,31.4,158.64,5.18,3.99
Lettuce,Loamy,1276.71,14.82,89.26,1.45,1.61
Mangoes,Silty,475.23,25.6,239.68,5.69,4.46
Coffee,Clay,668.34,11.72,108.88,4.2,0.87
Zucchini,Silty,520.18,17.14,171.2,9.43,4.07
Greengrams,Peaty,1019.51,15.5,274.16,8.66,4.43
Flax,Chalky,449.05,24.86,67.21,8.66,3.2
Zucchini,Silty,658.67,22.79,166.29,3.41,0.89
Cabbage,Peaty,472.39,20.65,200.02,3.37,1.04
Strawberries,Chalky,345.48,27.81,223.78,3.55,1.48
Peas,Clay,757.13,16.39,289.01,1.46,3.47
Zucchini,Silty,1358.03,30.66,111.56,3.06,4.6
Potatoes,Peaty,783.84,33.81,167.53,4.38,3.24
Barley,Loamy,1018.16,13.59,74.04,9.08,4.43
Potatoes,Peaty,1281.07,15.94,228.8,1.24,2.68
Spinach,Peaty,1266.86,18.81,234.07,4.77,4.74
Rice,Loamy,1327.59,31.21,265.25,9.44,1.66
Avocados,Silty,1294.4,23.18,109.16,1.78,4.68
Soybeans,Chalky,711.89,19.88,242.19,3.36,2.8
Cauliflower,Loamy,336.76,33.18,130.69,8.16,2.47
Cauliflower,Peaty,1246.54,10.39,201.36,4.84,4.14
Soybeans,Clay,1012.05,22.63,97.48,7.31,2.92
Amaranth,Clay,684.29,21.49,258.79,4.46,4.09
Pineapple,Sandy,1349.32,17.72,249.64,9.89,2.57
Cowpeas,Peaty,753.89,25.72,120.29,9.17,2.53
Carrots,Silty,1142.75,17.44,214.5,2.04,1.2
Pears,Loamy,622.4,21.2,155.02,4.27,2.41
Potatoes,Loamy,337.8,27.44,245.61,9.78,4.8
Flax,Clay,1107.11,12.38,142.99,5.6,2.08
Cauliflower,Chalky,1381.88,20.19,58.93,9.75,3.95
Amaranth,Silty,816.32,26.28,97.99,2.2,2.86
Maize,Silty,354.17,31.44,214.99,3.83,2.71
Millet,Loamy,518.91,24.35,215.51,5.34,4.26
Beans,Loamy,694.46,30.18,160.43,6.36,2.44
Cauliflower,Sandy,1052.15,22.98,219.23,3.21,4.83
Spinach,Peaty,695.38,25.77,130.18,5.58,3.9
Tomatoes,Clay,376.96,32.4,132.29,7.49,4.54
Cocoa,Chalky,1249.22,24.11,271.56,1.68,2.82
Mangoes,Chalky,1240.53,11.9,182.11,2.51,3.34
Zucchini,Chalky,579.1,17.84,80.28,7.3,3.17
Millet,Silty,1154.24,27.45,117.93,2.16,1.88
Tobacco,Chalky,708.74,19.95,166.89,4.69,2.48
Potatoes,Peaty,1247.38,24.15,193.0,3.9,3.43
Coffee,Chalky,1176.74,29.4,259.56,1.6,2.04
Amaranth,Chalky,790.85,18.93,286.0,5.96,3.99
Apples,Peaty,1095.95,28.89,50.42,2.82,4.88
Spinach,Loamy,244.47,29.96,108.23,4.75,2.83
Lentils,Loamy,898.37,29.26,103.01,7.89,1.28
Mangoes,Silty,1499.58,12.16,144.67,1.23,2.7
Sunflower,Peaty,1212.44,22.58,260.01,6.64,3.73
Grapes,Clay,520.79,28.2,282.48,9.19,3.14
Soybeans,Loamy,567.53,27.35,196.82,2.84,2.97
Cocoa,Silty,1394.81,12.2,136.28,7.22,3.38
Alfalfa,Silty,1153.11,13.98,251.82,5.94,2.77
Tobacco,Peaty,213.76,31.37,81.86,6.8,2.15
Amaranth,Clay,1424.34,18.18,88.91,4.58,1.38
Lettuce,Clay,909.67,16.2,58.74,4.7,0.58
Sorghum,Clay,1327.79,20.1,231.52,9.53,3.51
Tea,Sandy,364.99,21.96,96.95,6.95,2.1
Carrots,Sandy,352.77,26.92,60.79,8.09,2.59
Oats,Peaty,1408.9,34.23,210.57,6.54,1.99
Cassava,Loamy,1456.12,32.6,100.67,4.42,0.72
Cassava,Silty,1495.36,25.91,117.65,3.86,0.57
Strawberries,Loamy,790.48,18.6,266.77,3.15,1.15
Pears,Peaty,270.33,23.96,297.07,8.52,3.59
Strawberries,Chalky,471.29,15.32,263.22,1.35,1.59
Cocoa,Loamy,257.1,34.53,147.22,6.78,1.17
Cowpeas,Clay,841.95,21.95,261.04,8.96,3.23
Sorghum,Clay,249.13,13.71,65.05,5.2,4.22
Lettuce,Loamy,215.3,18.25,157.34,6.57,1.17
Garlic,Sandy,464.1,29.8,93.28,9.24,3.15
Cocoa,Chalky,1180.04,24.26,132.93,1.01,1.72
Oats,Silty,511.39,22.88,190.17,6.43,3.42
Avocados,Chalky,1324.76,31.82,158.09,6.67,3.76
Mangoes,Clay,406.43,25.54,213.22,0.69,3.83
Barley,Loamy,1082.78,34.85,227.77,8.03,3.95
Oats,Sandy,644.85,15.28,267.75,8.85,1.99
Greengrams,Clay,1498.54,21.69,187.6,7.25,3.07
Peanuts,Sandy,752.28,12.98,211.7,2.64,1.47
Grapes,Chalky,795.26,31.86,259.13,1.83,2.82
Amaranth,Peaty,514.95,20.9,203.73,5.34,2.21
Tobacco,Clay,1400.19,22.86,141.33,6.4,2.31
Avocados,Peaty,654.5,22.46,232.23,2.69,2.45
Amaranth,Clay,654.0,11.65,69.07,6.47,2.75
Sorghum,Clay,595.37,10.31,116.37,5.52,0.94
Barley,Chalky,1174.16,12.64,208.07,6.1,4.91
Amaranth,Sandy,470.57,31.07,92.81,9.32,1.56
Cocoa,Sandy,667.6,30.24,63.09,9.01,0.51
Cabbage,Chalky,275.88,22.23,287.46,5.83,4.68
Oranges,Peaty,405.75,14.26,220.98,3.76,4.32
Hemp,Sandy,923.66,20.36,220.33,4.42,0.81
Garlic,Loamy,261.1,34.78,141.38,3.8,3.78
Cowpeas,Clay,1357.09,29.27,257.68,4.72,2.48
Avocados,Silty,1130.44,23.88,133.03,9.34,2.12
Pears,Chalky,1425.48,26.12,236.66,3.85,0.97
Wheat,Loamy,1104.51,15.85,249.96,8.9,3.42
Greengrams,Loamy,1233.85,28.0,103.25,7.83,4.87
Grapes,Sandy,1416.67,13.9,163.9,1.09,2.79
Spinach,Loamy,319.42,27.01,224.4,5.96,3.18
Rice,Loamy,400.72,31.85,84.42,2.02,2.53
Sunflower,Sandy,502.02,23.79,241.47,5.06,2.36
Carrots,Silty,1048.25,30.64,278.0,4.43,0.94
Sunflower,Chalky,1430.53,14.9,140.29,8.35,0.88
Oats,Sandy,656.61,28.33,208.58,0.97,4.3
Hemp,Loamy,1190.59,18.18,134.93,5.76,1.13
Zucchini,Peaty,740.11,25.06,110.13,7.59,0.62
Millet,Clay,939.15,19.26,237.94,2.2,0.75
Peas,Clay,360.95,22.36,72.69,1.19,1.08
Quinoa,Chalky,1357.15,15.86,171.0,8.38,4.36
Quinoa,Chalky,1057.78,17.9,256.95,5.6,0.74
Onions,Clay,641.29,32.54,233.08,3.53,3.24
Potatoes,Chalky,496.36,35.0,173.17,3.14,0.72
Sugarcane,Sandy,887.96,30.06,240.67,3.15,3.38
Cotton,Sandy,1137.82,31.76,298.9,7.31,2.13
Cocoa,Chalky,976.41,27.01,200.65,5.98,1.47
Flax,Sandy,1032.29,25.93,143.98,1.12,0.88
Tea,Silty,292.81,11.29,185.72,2.38,4.6
Maize,Clay,419.46,25.28,90.46,2.94,4.39
Oranges,Loamy,375.76,14.32,109.05,4.82,2.55
Flax,Silty,332.97,34.91,151.41,9.83,3.28
Peanuts,Silty,1402.52,21.47,283.13,1.01,1.3
Cabbage,Loamy,1323.87,22.85,101.93,2.0,0.71
Alfalfa,Peaty,1309.55,21.5,109.7,4.3,3.1
Beans,Peaty,1442.75,24.77,292.28,7.52,3.26
Tobacco,Silty,461.2,33.69,112.27,1.46,1.08
Greengrams,Silty,1052.27,28.87,259.95,6.47,3.26
Spinach,Loamy,774.7,23.54,92.78,5.5,2.63
Cocoa,Clay,1230.72,24.36,187.9,6.84,1.01
Zucchini,Peaty,293.97,23.79,218.21,1.21,1.94
Lettuce,Clay,475.52,31.99,290.09,4.19,4.74
Cassava,Peaty,1166.88,20.51,281.29,8.9,2.25
Pineapple,Peaty,398.51,18.16,114.85,4.54,1.15
Cauliflower,Peaty,624.41,20.39,193.11,5.52,2.63
Sorghum,Clay,1312.29,28.7,274.25,5.32,1.22
Amaranth,Sandy,956.34,31.15,146.91,3.17,3.21
Soybeans,Clay,1477.17,25.22,226.88,6.88,3.47
Spinach,Chalky,1120.34,26.43,124.23,3.55,4.04
Cowpeas,Clay,1374.55,21.0,52.34,8.3,1.6
Pineapple,Sandy,925.49,16.94,278.52,4.8,2.95
Oranges,Loamy,679.11,14.65,60.02,3.36,3.31
Maize,Silty,860.12,20.42,127.32,5.03,2.23
Peanuts,Chalky,445.01,15.71,283.6,4.26,2.01
Barley,Peaty,754.19,19.95,89.68,3.01,4.48
Grapes,Chalky,1318.32,26.13,120.1,9.79,2.09
Sorghum,Peaty,1214.98,21.43,245.22,6.06,4.72
Cabbage,Silty,202.84,21.51,162.69,5.14,3.1
Sunflower,Silty,1192.85,22.25,112.32,6.06,3.35
Carrots,Sandy,302.99,16.37,156.19,2.93,0.69
Rice,Clay,1151.66,10.94,262.75,7.71,4.17
Maize,Silty,225.24,24.46,66.97,7.84,4.98
Garlic,Chalky,1080.91,27.41,297.36,4.64,1.05
Cowpeas,Loamy,943.94,25.25,92.18,9.35,4.44
Cotton,Peaty,567.16,25.12,70.48,4.55,3.16
Millet,Peaty,258.32,21.48,204.14,4.41,4.91
Greengrams,Sandy,483.99,28.91,157.23,4.73,1.14
Broccoli,Silty,705.03,22.02,124.43,7.97,2.76
Amaranth,Peaty,333.01,22.8,242.32,5.61,4.49
Pears,Silty,1421.47,32.89,101.39,8.07,3.74
Beans,Peaty,561.25,28.7,264.41,3.69,2.26
Peanuts,Silty,1273.1,25.05,278.69,5.61,1.89
Cocoa,Silty,919.4,29.99,195.0,0.9,0.74
Beans,Loamy,393.2,30.37,234.74,5.83,2.84
Pumpkin,Peaty,339.77,25.1,70.1,5.74,4.99
Soybeans,Clay,1100.96,26.37,184.36,9.38,1.63
Coffee,Sandy,990.54,30.16,285.02,7.3,1.63
Pineapple,Sandy,675.62,11.98,290.08,1.96,1.51
Peanuts,Loamy,327.9,13.83,210.98,4.03,1.82
Cassava,Peaty,1119.98,12.67,220.25,8.06,4.73
Spinach,Chalky,1437.24,10.41,296.88,6.08,1.58
Zucchini,Chalky,1307.44,24.78,230.75,7.51,3.67
Strawberries,Sandy,565.51,30.37,198.98,7.06,1.02
Wheat,Chalky,1167.11,10.1,175.8,0.68,2.59
Beans,Clay,865.43,25.24,69.63,3.04,2.81
Oranges,Clay,925.24,26.41,197.35,6.61,1.78
Mangoes,Loamy,320.52,29.28,61.48,4.28,1.87
Corn,Clay,883.93,16.87,111.23,2.6,0.76
Rice,Clay,1300.51,27.97,237.51,1.83,3.16
Pumpkin,Loamy,1001.75,16.02,228.24,9.42,1.54
Alfalfa,Sandy,1071.78,13.15,103.0,8.77,0.94
Sunflower,Loamy,507.84,22.25,280.07,5.41,3.99
Barley,Chalky,1483.33,12.2,185.76,7.59,4.81
Flax,Silty,225.21,11.29,266.81,2.53,4.92
Greengrams,Peaty,720.59,27.15,158.89,7.62,1.52
Potatoes,Loamy,608.88,30.09,252.26,1.54,1.91
Tea,Silty,788.87,20.25,192.66,2.43,3.02
Maize,Peaty,203.13,17.85,146.71,6.54,3.38
Corn,Chalky,571.19,30.93,135.07,3.69,0.84
Strawberries,Silty,1128.07,21.3,213.72,4.61,4.21
Peanuts,Peaty,1271.4,33.95,255.46,6.17,3.14
Sorghum,Chalky,792.23,18.91,129.48,5.27,2.28
Avocados,Clay,397.29,14.94,150.25,6.92,1.17
Alfalfa,Sandy,1292.82,26.87,253.25,2.31,4.12
Coffee,Chalky,547.54,32.73,289.09,6.09,3.99
Mangoes,Chalky,427.25,28.98,61.44,2.41,3.89
Beans,Clay,931.48,33.38,82.17,8.65,0.71
Millet,Peaty,453.5,15.87,132.1,5.02,2.64
Lentils,Peaty,944.04,24.2,294.44,2.58,2.5
Hemp,Clay,815.45,16.49,179.94,9.19,1.06
Garlic,Peaty,839.32,28.89,119.99,6.5,2.81
Pineapple,Clay,699.17,32.2,124.91,9.95,4.84
Pumpkin,Chalky,1178.14,29.14,178.57,3.65,2.04
Coffee,Peaty,1058.1,18.87,242.83,4.33,3.17
Barley,Chalky,1321.97,24.44,102.08,8.02,2.81
Wheat,Clay,542.72,26.61,170.09,1.03,1.27
Beans,Chalky,656.37,13.36,129.81,4.05,2.5
Greengrams,Chalky,804.43,21.61,244.36,8.77,1.71
Sorghum,Chalky,484.02,15.46,82.9,9.99,1.57
Chickpeas,Loamy,1077.29,24.81,222.17,8.72,2.24
Pears,Clay,910.09,10.58,149.04,8.7,2.64
Zucchini,Peaty,672.52,16.35,88.44,3.21,1.92
Garlic,Chalky,597.25,29.4,191.82,4.22,4.39
Maize,Clay,1437.51,30.9,182.39,7.26,4.09
Beans,Sandy,1332.89,14.43,86.48,0.65,3.14
Oats,Silty,1218.05,32.09,233.1,9.83,4.33
Lentils,Loamy,309.09,17.2,291.66,3.45,3.52
Peanuts,Chalky,886.68,34.51,97.9,3.97,3.73
Blueberries,Chalky,825.52,10.48,227.95,8.4,4.31
Greengrams,Chalky,1236.24,14.79,71.44,7.03,0.95
Broccoli,Peaty,976.45,17.25,202.74,7.27,1.13
Mangoes,Loamy,1078.07,26.02,255.41,8.75,4.87
Lentils,Silty,1135.14,16.5,241.55,3.54,4.57
Coffee,Clay,1008.78,23.58,228.48,5.68,1.48
Chickpeas,Sandy,1366.84,10.58,71.8,5.86,4.51
Rice,Clay,288.37,30.87,186.14,5.4,1.67
Cauliflower,Sandy,1380.58,33.36,230.85,2.43,1.28
Soybeans,Chalky,1039.46,12.86,110.75,9.63,1.5
Potatoes,Clay,565.52,18.29,119.24,4.15,4.77
Peanuts,Clay,203.1,29.03,151.46,5.6,2.37
Lettuce,Loamy,1229.65,17.56,100.5,4.0,0.54
Avocados,Sandy,444.54,13.76,125.59,2.15,1.48
Sorghum,Chalky,441.88,25.05,255.65,4.72,4.71
Avocados,Sandy,1150.14,27.23,166.73,2.77,3.24
Zucchini,Peaty,908.09,16.05,92.88,4.8,1.0
Grapes,Silty,854.71,19.59,57.7,6.25,1.11
Cotton,Silty,1103.61,33.59,61.81,2.91,1.21
Mangoes,Clay,646.93,21.06,214.65,4.39,1.09
Millet,Sandy,1158.98,24.0,103.08,4.54,3.16
Chickpeas,Sandy,416.92,29.35,276.3,4.64,4.61
Rice,Chalky,321.27,27.26,234.73,7.88,3.58
Coffee,Sandy,1212.33,32.31,193.62,9.48,1.13
Tea,Loamy,1208.89,28.49,98.15,9.77,4.07
Mangoes,Clay,1486.04,17.03,176.42,1.46,3.36
Zucchini,Chalky,888.39,22.44,119.79,5.03,4.49
Blueberries,Chalky,692.98,15.74,126.53,9.07,3.06
Oats,Chalky,762.78,28.38,143.62,8.93,0.53
Tea,Silty,1461.45,16.53,201.36,6.5,0.54
Barley,Clay,965.53,17.74,97.31,7.0,2.2
Rice,Silty,795.16,27.43,245.31,6.68,2.76
Avocados,Chalky,640.96,33.22,166.95,1.98,1.64
Quinoa,Clay,791.06,25.09,81.41,7.26,0.65
Flax,Clay,954.5,20.01,179.59,2.14,3.15
Hemp,Chalky,1082.07,22.94,295.76,7.06,3.06
Peanuts,Chalky,716.21,25.34,287.33,3.52,2.8
Barley,Sandy,886.1,33.65,96.46,5.13,3.33
Cowpeas,Silty,580.5,15.66,79.2,8.64,2.21
Bananas,Clay,1384.43,23.87,256.98,4.94,1.08
Mangoes,Peaty,805.01,16.46,128.59,1.22,1.65
Alfalfa,Clay,1098.41,34.77,228.09,8.17,1.85
Corn,Clay,1234.2,20.87,219.22,7.59,4.89
Millet,Peaty,417.92,26.53,82.11,4.88,2.48
Onions,Chalky,402.73,33.06,227.54,5.6,4.67
Oranges,Chalky,260.55,24.73,205.48,8.13,3.03
Oats,Peaty,1389.39,25.21,199.44,7.59,3.64
Lettuce,Peaty,797.21,23.77,66.29,2.87,4.31
Tomatoes,Sandy,327.04,12.89,80.23,4.92,4.16
Hemp,Silty,554.04,31.49,245.43,4.89,4.6
Lettuce,Clay,983.85,24.15,140.57,8.44,2.43
Soybeans,Peaty,282.44,14.11,221.63,9.2,4.21
Tomatoes,Loamy,1161.31,33.43,214.31,2.94,4.06
Spinach,Chalky,1297.53,12.23,94.4,7.99,3.95
Barley,Peaty,333.34,20.04,155.23,5.84,4.69
Maize,Loamy,1204.56,20.39,160.67,3.04,4.58
Zucchini,Silty,371.47,13.1,244.58,2.22,0.81
Sunflower,Silty,715.13,22.45,223.33,9.33,2.19
Pumpkin,Silty,1101.78,28.82,99.83,1.58,3.54
Quinoa,Peaty,257.94,32.95,187.38,8.92,2.05
Millet,Chalky,338.17,27.81,231.31,6.87,3.2
Flax,Peaty,588.53,20.75,56.6,8.45,3.93
Cauliflower,Peaty,1372.99,28.35,143.99,2.59,4.12
Cabbage,Sandy,573.48,31.96,204.21,1.91,0.84
Pineapple,Chalky,592.1,19.14,106.9,7.15,0.58
Carrots,Peaty,1019.52,16.92,167.37,9.38,3.64
Tomatoes,Silty,725.45,11.36,63.7,9.54,2.83
Broccoli,Silty,1219.69,19.22,99.71,7.08,2.33
Bananas,Chalky,1418.59,15.25,170.85,3.66,2.03
Peas,Chalky,1297.57,11.1,202.28,7.76,2.5
Flax,Loamy,1013.96,13.54,73.47,7.35,0.62
Cauliflower,Loamy,752.59,25.54,128.39,2.21,4.21
Broccoli,Clay,542.16,33.33,163.46,7.05,4.1
Sunflower,Loamy,516.36,20.41,216.2,4.95,2.18
Alfalfa,Peaty,1075.2,21.85,148.56,0.9,1.85
Spinach,Chalky,1429.4,33.2,221.61,1.06,2.88
Beans,Sandy,972.52,33.84,121.55,5.46,4.32
Rice,Loamy,799.6,27.24,141.2,5.23,4.08
Bananas,Silty,698.51,21.56,124.48,3.6,0.97
Lentils,Chalky,912.97,17.11,140.63,5.45,1.86
Beans,Sandy,1227.05,17.24,181.53,7.66,4.79
Sugarcane,Clay,1409.29,20.76,289.72,9.58,0.82
Grapes,Chalky,1033.76,32.4,270.14,1.16,2.02
Beans,Silty,966.85,30.51,167.65,4.42,4.76
Corn,Loamy,977.21,15.73,169.31,1.15,3.5
Amaranth,Peaty,1339.62,29.49,151.91,5.22,1.06
Rice,Chalky,1093.27,34.49,266.41,7.48,4.37
Cocoa,Loamy,541.09,22.05,75.63,4.13,2.2
Greengrams,Peaty,238.98,27.18,235.8,1.14,4.02
Maize,Chalky,269.73,26.01,276.35,2.75,2.05
Tobacco,Loamy,730.39,23.7,55.64,0.9,1.53
Hemp,Silty,319.57,12.83,166.87,3.57,1.11
Potatoes,Sandy,613.82,22.32,77.64,2.81,4.42
Cocoa,Clay,566.48,11.43,62.81,3.53,2.87
Cocoa,Peaty,882.81,32.49,74.18,4.82,4.67
Sorghum,Clay,637.75,25.33,210.04,1.06,4.04
Amaranth,Silty,871.39,31.9,54.6,9.94,2.23
Cauliflower,Peaty,604.16,16.94,88.22,0.53,4.91
Sugarcane,Peaty,1005.46,33.59,206.0,9.77,2.02
Cabbage,Peaty,645.13,27.24,148.3,7.51,2.56
Pears,Chalky,602.43,14.86,289.76,2.26,1.29
Spinach,Clay,989.44,27.67,142.27,1.08,1.34
Quinoa,Silty,284.61,16.55,216.48,9.3,4.8
Soybeans,Sandy,1224.74,21.24,208.88,7.14,1.54
Mangoes,Chalky,1328.13,12.33,268.1,6.73,1.26
Beans,Clay,1492.32,13.43,68.66,2.44,3.19
Pears,Clay,684.85,11.13,173.55,8.37,0.66
Oats,Loamy,1293.98,15.72,221.09,9.27,2.61
Strawberries,Sandy,1457.83,19.04,197.08,3.58,4.35
Lentils,Loamy,1130.15,29.21,264.77,6.19,4.55
Alfalfa,Clay,1374.87,32.38,221.19,0.71,2.71
Bananas,Sandy,1476.34,11.18,113.49,8.12,0.56
Cowpeas,Sandy,401.09,30.63,67.75,2.96,0.89
Avocados,Sandy,1361.05,30.77,105.82,8.29,4.48
Soybeans,Clay,468.7,34.54,234.83,5.89,1.73
Chickpeas,Chalky,911.23,14.97,141.38,1.5,1.85
Grapes,Loamy,1290.27,18.86,115.62,8.11,3.37
Greengrams,Silty,372.92,11.87,231.69,2.76,3.8
Peas,Clay,827.61,32.77,294.78,4.39,0.56
Cauliflower,Loamy,1223.19,14.97,59.55,6.65,1.61
Oranges,Chalky,250.57,12.2,272.35,9.47,3.24
Millet,Sandy,456.79,27.34,208.52,3.22,2.11
Apples,Peaty,694.33,13.22,150.28,8.63,2.06
Peas,Chalky,432.92,13.51,69.42,9.19,3.55
Cocoa,Loamy,502.2,19.49,139.98,7.6,2.3
Barley,Peaty,889.2,21.45,177.31,3.58,3.9
Flax,Chalky,1294.09,16.65,172.16,4.1,2.8
Maize,Loamy,703.38,22.73,126.06,3.27,1.16
Grapes,Sandy,1411.57,30.33,78.67,7.06,1.87
Millet,Clay,263.17,34.55,292.44,4.17,0.93
Blueberries,Loamy,596.23,32.08,225.39,6.83,2.83
Avocados,Clay,414.45,25.2,241.6,4.99,3.8
Wheat,Silty,737.54,18.98,198.95,8.94,3.75
Sunflower,Sandy,238.72,26.32,150.29,6.56,1.52
